Filename,MLCS 8485 laser coated
Instrument name,SDT 1 LEFT (192.168.0.183)
Operator,dAA
rundate,10/24/2023
Sample name,MLCS 8485 laser coated
proceduresegments,Data Off ; Select Gas: Gas 2 ; Balance Flow 100 mL/min; Mass Flow  100.00 mL/min; Isothermal 10.0 min; Data On ; Ramp 10.00 °C/min to 500.00 °C; Data Off 
[step]
Ramp 10.00 °C/min to 500.00 °C
Time,Temperature,Heat Flow (Normalized),Weight
min,°C,W/g,%
0.47,30.04,-0.019,99.638
0.47,30.04,-0.019,99.638
0.47,30.04,-0.019,99.638
0.47,30.04,-0.019,99.638
0.47,30.04,-0.019,99.638
0.48,30.04,-0.019,99.638
0.48,30.04,-0.019,99.638
0.48,30.04,-0.019,99.638
0.48,30.04,-0.019,99.638
0.48,30.04,-0.019,99.638
0.48,30.04,-0.019,99.638
0.49,30.04,-0.019,99.638
0.49,30.04,-0.019,99.638
0.49,30.04,-0.019,99.638
0.49,30.04,-0.019,99.638
0.49,30.04,-0.019,99.638
0.49,30.04,-0.019,99.638
0.50,30.04,-0.019,99.638
0.50,30.04,-0.019,99.638
0.50,30.04,-0.019,99.638
0.50,30.04,-0.019,99.637
0.50,30.04,-0.019,99.637
0.50,30.04,-0.019,99.637
0.50,30.04,-0.019,99.637
0.51,30.04,-0.019,99.637
0.51,30.04,-0.019,99.637
0.51,30.04,-0.019,99.637
0.51,30.04,-0.019,99.637
0.51,30.04,-0.019,99.637
0.51,30.04,-0.019,99.637
0.52,30.04,-0.019,99.637
0.52,30.04,-0.019,99.637
0.52,30.04,-0.019,99.637
0.52,30.04,-0.019,99.637
0.52,30.04,-0.019,99.637
0.53,30.04,-0.019,99.637
0.53,30.04,-0.019,99.637
0.53,30.04,-0.019,99.637
0.53,30.04,-0.019,99.637
0.53,30.04,-0.019,99.637
0.53,30.04,-0.019,99.637
0.53,30.04,-0.019,99.637
0.54,30.04,-0.019,99.637
0.54,30.04,-0.019,99.637
0.54,30.04,-0.019,99.637
0.54,30.04,-0.019,99.637
0.54,30.04,-0.019,99.637
0.55,30.04,-0.019,99.637
0.55,30.04,-0.019,99.637
0.55,30.04,-0.019,99.637
0.55,30.04,-0.019,99.637
0.55,30.04,-0.019,99.636
0.55,30.04,-0.018,99.636
0.55,30.04,-0.018,99.636
0.56,30.04,-0.018,99.636
0.56,30.05,-0.018,99.636
0.56,30.05,-0.018,99.636
0.56,30.05,-0.018,99.636
0.56,30.05,-0.018,99.636
0.57,30.05,-0.018,99.636
0.57,30.05,-0.018,99.636
0.57,30.05,-0.018,99.636
0.57,30.05,-0.018,99.636
0.57,30.05,-0.018,99.636
0.57,30.05,-0.018,99.636
0.58,30.05,-0.018,99.636
0.58,30.05,-0.018,99.636
